place_id,place_type,name,parent_place_id,state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,block_code,block_name,panchayat_code,panchayat_name,village_code,village_name,latitude,longitude,valid_from,valid_to,source_id,quality_class,record_status
JH-VILL-347183,village,Khonhar,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347183,Khonhar,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347184,village,Chhata Kund,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347184,Chhata Kund,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347185,village,Parti Kuswani,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347185,Parti Kuswani,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347186,village,Munmun,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347186,Munmun,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347187,village,Pachadumar,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347187,Pachadumar,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347188,village,Bato Kalan,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347188,Bato Kalan,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347189,village,Ketri,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347189,Ketri,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347190,village,Baligarh,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347190,Baligarh,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347191,village,Ketar,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347191,Ketar,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347192,village,Panditpura,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347192,Panditpura,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347193,village,Nawadih,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347193,Nawadih,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347194,village,Gamharia,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347194,Gamharia,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347195,village,Bijdih,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347195,Bijdih,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347196,village,Chandih,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347196,Chandih,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347197,village,Khairwa,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347197,Khairwa,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347198,village,Tali,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347198,Tali,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
